CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,045",172,271,-,"5,515.25",-718.30,60,"4,792.45","5,521.30",60,"50,000.00",150,32.25,34.05,150,8.25,35.50,25.50,"37,255","6,648","26,668",
,-,-,-,-,-,-,30,"4,799.75","5,669.10",300,"50,100.00",150,33.65,36.50,150,6.55,33.60,24.86,903,-191,110,
,45,-,-,-,"4,547.30",-,30,"4,774.90","5,513.40",30,"50,200.00",150,36.00,38.45,150,8.25,37.40,24.92,489,99,301,
,2,-,-,-,"4,200.00",-,30,"4,685.60","5,436.20",300,"50,300.00",150,37.95,44.65,300,7.30,39.95,24.80,436,40,208,
,4,-,-,-,"3,633.85",-,300,"4,447.50","5,348.90",300,"50,400.00",150,40.45,47.35,300,8.80,43.10,24.73,353,-5,81,
,28,-,-,32.64,"5,871.75",17.10,300,"4,785.00","5,152.10",300,"50,500.00",150,43.30,45.65,150,9.65,44.95,24.50,"14,055",-804,"4,204",
,24,-,-,-,"7,075.00",-,30,"4,214.35","5,158.55",300,"50,600.00",150,45.70,54.20,300,10.05,47.90,24.38,"1,507",-349,251,
,11,-,-,-,"5,411.10",-,30,"4,316.00","5,146.85",300,"50,700.00",150,48.45,57.95,300,7.00,47.55,23.92,617,48,216,
,10,-1,2,22.72,"4,800.10",-559.30,60,"4,074.95","4,925.25",300,"50,800.00",150,51.85,59.95,300,9.45,51.05,23.83,776,45,637,
,10,-,-,-,"5,000.00",-,30,"4,211.65","4,869.10",300,"50,900.00",150,55.35,60.30,30,15.50,60.30,24.19,"1,098",158,653,
,944,-6,69,-,"4,451.95",-848.05,30,"4,458.85","4,624.10",30,"51,000.00",150,60.05,62.25,30,12.00,59.60,23.70,"35,616","2,566","13,289",
,12,-,-,-,"4,540.50",-,30,"4,195.55","4,660.75",300,"51,100.00",150,63.00,66.05,150,11.30,61.95,23.45,"1,187",88,626,
,17,-,-,-,"4,443.55",-,30,"4,099.35","4,569.90",300,"51,200.00",150,67.40,72.30,30,17.35,69.55,23.59,"1,279",135,907,
,12,-3,5,-,"4,181.10",-822.90,30,"4,005.00","4,431.55",60,"51,300.00",150,71.70,75.35,150,18.90,74.30,23.48,"1,254",-39,711,
,13,-1,1,33.65,"4,465.55",865.55,120,"4,082.45","4,247.60",300,"51,400.00",150,76.95,80.35,150,17.10,76.10,23.15,"1,379",276,750,
,239,-2,25,-,"4,000.00",-855.65,90,"3,977.60","4,131.00",30,"51,500.00",150,83.45,86.00,990,23.80,85.45,23.30,"17,052","2,864","9,194",
,11,-,-,-,"4,612.60",-,120,"3,910.45","4,045.55",30,"51,600.00",150,88.95,92.35,150,24.25,89.35,23.08,"1,199",-171,647,
,19,-,-,-,"4,519.85",-,30,"3,806.45","3,949.55",30,"51,700.00",150,95.05,102.00,30,25.95,95.00,22.95,"1,192",9,651,
,27,-,-,20.49,"3,175.30",-,30,"3,674.65","3,870.60",120,"51,800.00",150,101.45,105.00,30,27.00,101.45,22.84,"1,649",175,"1,010",
,17,-,-,14.84,"3,900.00",-,30,"3,583.10","3,767.35",30,"51,900.00",150,108.60,115.95,600,32.75,108.90,22.76,"2,032",82,770,
,"2,172",93,326,15.24,"3,583.05",-756.15,30,"3,543.60","3,609.45",60,"52,000.00",60,116.25,120.00,210,37.25,118.55,22.77,"53,688","3,978","18,578",
,20,-,-,20.09,"3,222.30",-,30,"3,446.95","3,601.85",900,"52,100.00",150,123.65,132.85,150,37.50,124.55,22.58,"2,108",-355,795,
,16,-,-,-,"4,074.20",-,900,"3,273.75","3,495.35",900,"52,200.00",150,132.15,141.95,150,38.90,132.70,22.47,"1,634",-217,"1,320",
,30,-,-,22.10,"2,800.00",-,30,"3,256.90","3,398.10",30,"52,300.00",150,141.75,150.00,30,44.30,142.00,22.38,"1,725",-84,999,
,31,-,-,29.35,"4,143.05",-,570,"2,942.00","3,312.50",30,"52,400.00",300,142.50,160.00,30,47.20,151.30,22.27,"2,253",-315,686,
,272,-1,2,-,"3,000.00",-905.00,30,"3,087.50","3,168.70",30,"52,500.00",90,160.85,163.50,210,54.90,163.45,22.26,"20,877","3,463","10,567",
,11,-,-,18.46,"3,750.00",-,150,"2,986.65","3,098.80",150,"52,600.00",90,161.05,183.05,300,56.50,172.70,22.10,"1,821",-172,683,
,29,-,-,18.63,"3,657.80",-,30,"2,898.25","3,025.85",150,"52,700.00",150,172.15,195.30,300,57.65,183.65,21.99,"2,487",-52,806,
,89,1,1,22.40,"2,980.10",-412.10,150,"2,822.10","2,921.60",30,"52,800.00",300,185.55,209.40,150,66.85,198.65,22.00,"1,973",123,907,
,15,-,-,23.52,"3,566.40",-,30,"2,738.25","2,852.80",900,"52,900.00",30,205.00,217.95,30,73.35,211.45,21.90,"1,524",131,903,
,"2,961",-67,604,17.80,"2,690.05",-739.50,60,"2,656.35","2,721.35",30,"53,000.00",90,220.95,227.00,210,79.95,225.00,21.81,"40,818","1,524","16,706",
,30,-1,1,27.82,"2,917.30",-432.70,540,"2,002.45","2,667.20",150,"53,100.00",330,222.55,240.20,30,87.15,239.75,21.72,"2,985",78,"1,123",
,21,-,-,19.46,"2,308.85",-,30,"2,319.10","2,579.45",150,"53,200.00",150,251.30,254.90,60,90.00,255.00,21.63,"3,499",318,"1,465",
,115,-,2,19.00,"2,465.05",-431.95,150,"2,396.65","2,505.95",900,"53,300.00",180,267.10,274.95,30,98.15,271.50,21.55,"3,814",85,"1,114",
,37,-,-,-,"2,142.80",-,150,"2,330.45","2,405.05",150,"53,400.00",150,268.95,298.70,300,102.50,285.15,21.36,"2,271",-40,980,
,572,-13,225,17.63,"2,258.85",-638.95,120,"2,247.40","2,304.75",30,"53,500.00",90,303.45,310.90,60,112.50,306.15,21.36,"25,209",994,"8,812",
,28,-,-,-,"2,706.65",-,30,"2,003.45","2,246.60",120,"53,600.00",30,309.30,325.00,30,120.30,325.00,21.26,"3,542",-49,"1,080",
,158,-,-,25.73,"2,947.35",-,30,"1,929.45","2,173.40",120,"53,700.00",60,331.85,348.00,300,120.75,338.60,21.00,"3,877",-112,"1,360",
,122,1,2,18.48,"2,045.95",-684.25,60,"1,886.70","2,070.50",120,"53,800.00",30,356.60,368.80,60,133.75,363.30,21.01,"4,231",98,"1,387",
,93,1,62,18.48,"1,969.10",-911.65,60,"1,919.80","2,021.05",60,"53,900.00",240,378.00,392.95,30,127.05,370.75,20.55,"3,546",42,"1,160",
,"4,755",-141,"2,109",18.28,"1,886.00",-646.40,30,"1,870.35","1,904.65",30,"54,000.00",270,403.50,411.70,240,154.60,411.90,20.92,"56,961","2,975","19,462",
,250,13,96,19.46,"1,857.80",-554.80,30,"1,789.90","1,857.20",60,"54,100.00",120,431.85,434.95,30,161.30,434.20,20.78,"4,258",64,"1,374",
,444,8,33,18.42,"1,744.00",-512.75,30,"1,716.10","1,782.85",60,"54,200.00",30,445.00,463.55,60,167.50,452.90,20.53,"7,377",-200,"2,155",
,461,-321,536,17.89,"1,651.00",-607.50,30,"1,652.15","1,694.80",90,"54,300.00",30,479.95,489.80,90,174.75,480.80,20.47,"5,761",-152,"1,902",
,801,-10,77,18.96,"1,625.70",-518.45,30,"1,561.20","1,623.00",900,"54,400.00",30,509.25,517.55,30,181.35,508.75,20.38,"5,049",-144,"1,661",
,"4,150",324,"2,692",18.20,"1,525.00",-591.55,30,"1,502.00","1,540.15",60,"54,500.00",60,543.45,550.40,120,198.60,541.25,20.37,"46,710","1,170","9,375",
,"1,231",-866,"1,734",17.91,"1,445.45",-620.80,120,"1,411.90","1,485.95",30,"54,600.00",120,563.55,581.90,60,213.00,571.05,20.26,"5,889",-327,"1,737",
,"1,861",-48,522,18.46,"1,404.95",-580.50,30,"1,388.00","1,414.45",60,"54,700.00",90,606.05,612.00,30,227.35,609.00,20.31,"8,735",-32,"2,428",
,"1,776",-20,670,18.44,"1,340.45",-535.40,30,"1,301.00","1,338.40",60,"54,800.00",90,640.50,648.00,30,237.50,646.10,20.30,"8,268",22,"1,911",
,"1,369",41,695,18.06,"1,261.40",-575.00,30,"1,259.00","1,277.25",30,"54,900.00",60,674.60,694.80,30,252.15,683.80,20.27,"8,819",75,"1,987",
,"13,388",229,"20,914",18.01,"1,199.00",-544.85,60,"1,180.05","1,206.10",120,"55,000.00",120,717.10,721.95,30,261.55,719.30,20.16,"83,945","-1,894","20,391",
,"2,018",306,"4,573",17.95,"1,137.40",-529.15,60,"1,122.70","1,147.85",60,"55,100.00",120,752.90,766.35,30,271.20,754.55,20.02,"16,154",263,"2,220",
,"2,950",519,"12,938",18.04,"1,085.00",-522.70,90,"1,075.00","1,084.30",120,"55,200.00",90,794.80,804.85,30,294.35,802.90,20.11,"25,427",521,"3,636",
,"2,799",826,"12,646",17.86,"1,021.65",-498.90,30,"1,020.00","1,029.00",120,"55,300.00",120,839.50,846.50,150,296.95,839.15,19.93,"27,119",905,"3,189",
,"3,003","1,203","21,843",17.80,965.25,-494.45,60,963.30,974.30,120,"55,400.00",120,882.60,892.60,120,321.90,889.15,19.99,"36,537",418,"2,506",
,"16,122","6,905","70,656",17.87,917.50,-475.70,30,912.10,917.50,30,"55,500.00",720,933.95,939.65,120,334.05,933.95,19.92,"1,03,207",764,"13,447",
,"5,160","2,497","38,879",17.81,864.90,-462.75,30,859.70,870.00,120,"55,600.00",120,977.10,986.85,30,353.20,984.30,19.92,"58,885",739,"2,950",
,"4,269","2,753","37,407",17.80,816.80,-447.55,30,810.20,819.95,30,"55,700.00",90,"1,007.75","1,047.60",30,363.05,"1,030.85",19.82,"52,504",237,"2,758",
,"4,893","2,446","28,510",17.80,770.60,-431.90,30,767.90,773.00,30,"55,800.00",120,"1,058.70","1,099.85",60,372.90,"1,082.80",19.79,"34,399",282,"3,036",
,"3,125","1,206","19,060",17.73,723.10,-418.15,60,720.25,729.25,60,"55,900.00",30,"1,118.00","1,161.25",60,386.85,"1,136.90",19.77,"20,667",118,"2,292",
,"36,746","7,680","1,02,803",17.72,680.00,-403.80,120,680.00,684.10,120,"56,000.00",150,"1,180.10","1,200.00",720,409.15,"1,198.00",19.87,"67,935","-1,598","28,209",
,"4,174",34,"12,095",17.70,638.65,-389.85,60,635.15,644.95,30,"56,100.00",30,"1,216.30","1,270.00",30,417.35,"1,246.90",19.68,"6,865",-801,"1,899",
,"4,041",101,"15,665",17.64,597.00,-377.60,30,596.00,601.70,120,"56,200.00",30,"1,289.50","1,365.40",90,452.85,"1,330.65",20.18,"6,220",-565,"2,344",
,"3,922",-343,"12,272",17.89,571.55,-341.40,90,551.85,568.25,30,"56,300.00",30,"1,325.00","1,457.50",30,455.50,"1,373.40",19.79,"3,288",-338,"2,417",
,"3,924",202,"9,494",17.65,524.65,-343.10,30,522.05,527.55,90,"56,400.00",30,"1,408.95","1,469.75",30,463.15,"1,429.25",19.65,"3,793",574,"2,486",
,"20,415","1,814","46,870",17.64,490.40,-330.95,30,489.15,493.60,120,"56,500.00",30,"1,474.75","1,533.25",60,488.90,"1,503.00",19.85,"9,225",-919,"13,021",
,"2,912",265,"8,284",17.65,458.60,-312.30,30,456.00,471.10,300,"56,600.00",30,"1,543.25","1,645.45",90,483.05,"1,562.00",19.70,310,-9,"1,059",
,"2,524",654,"7,822",17.65,428.05,-286.60,30,420.30,434.00,90,"56,700.00",30,"1,611.50","1,684.85",900,509.95,"1,631.10",19.74,"1,104",312,"1,399",
,"4,048",59,"6,901",17.71,401.85,-270.10,30,390.85,401.95,30,"56,800.00",30,"1,678.55","1,782.95",30,510.00,"1,683.25",19.37,236,-16,"2,394",
,"2,879",325,"7,492",17.63,370.80,-264.25,120,368.05,375.15,30,"56,900.00",900,"1,745.25","1,845.50",90,548.85,"1,774.85",19.86,97,-18,480,
,"29,580","2,555","71,982",17.62,344.70,-251.45,120,343.00,348.95,60,"57,000.00",30,"1,835.30","1,871.60",60,564.40,"1,860.70",20.21,"7,004",-12,"13,882",
,"2,010",591,"11,190",17.71,323.40,-233.30,90,318.95,324.70,60,"57,100.00",60,"1,895.05","1,987.15",30,513.95,"1,882.30",18.97,51,-9,335,
,"2,346",382,"6,081",17.73,301.00,-218.05,90,295.10,302.45,60,"57,200.00",900,"1,971.05","2,099.30",30,562.50,"1,983.40",19.63,41,-10,390,
,"3,149",223,"5,268",17.70,278.00,-203.60,30,274.10,282.00,300,"57,300.00",60,"2,054.20","2,152.85",60,645.55,"2,109.05",20.90,29,-22,529,
,"1,580",192,"3,805",17.78,260.15,-189.70,60,256.05,260.80,150,"57,400.00",150,"2,132.95","2,335.00",30,519.70,"2,081.00",18.16,14,-3,346,
,"14,890","3,068","35,527",17.76,239.80,-179.80,60,238.80,243.70,90,"57,500.00",60,"2,221.60","2,283.20",30,605.95,"2,221.50",19.85,643,-43,"4,760",
,"1,778",92,"5,277",17.88,225.65,-165.15,390,215.20,224.95,150,"57,600.00",150,"2,292.05","2,497.30",30,775.95,"2,450.00",23.80,22,-2,634,
,"2,120",-106,"3,348",17.89,208.70,-154.10,30,200.05,215.00,60,"57,700.00",120,"2,374.55","2,582.40",30,814.65,"2,374.65",19.70,16,1,203,
,"2,666",154,"4,971",17.82,190.30,-145.15,150,188.95,199.35,30,"57,800.00",120,"2,458.65","2,787.00",570,843.75,"2,684.60",25.90,9,-3,246,
,"1,921",-52,"2,838",17.93,178.40,-133.85,30,175.00,179.60,60,"57,900.00",120,"2,528.25","2,895.10",870,682.65,"2,525.70",19.32,6,-3,31,
,"37,872","6,825","66,551",18.00,166.20,-124.40,60,163.65,166.95,30,"58,000.00",210,"2,631.25","2,682.80",30,656.55,"2,637.30",20.22,"1,363",94,"8,990",
,"1,427",17,"3,927",18.06,154.40,-112.95,180,150.70,155.00,60,"58,100.00",900,"2,699.45","2,802.95",30,750.00,"2,800.00",22.66,3,-,49,
,"1,711",178,"4,079",18.05,141.55,-106.70,60,135.05,144.25,150,"58,200.00",120,"2,798.65","3,016.25",30,-,"3,647.10",26.41,-,-,90,
,997,-127,"4,251",18.19,133.35,-92.50,300,125.80,133.50,150,"58,300.00",300,"2,854.30","3,111.80",30,-,"3,286.80",41.05,-,-,116,
,"1,207",-233,"3,382",18.18,122.15,-89.50,30,119.75,123.90,300,"58,400.00",300,"2,957.85","3,087.40",120,255.00,"3,150.00",25.76,1,1,56,
,"11,398","1,401","24,355",18.28,114.30,-82.30,120,112.60,115.00,90,"58,500.00",60,"3,031.85","3,194.80",30,826.95,"3,193.50",24.62,39,8,"2,137",
,"1,261",-23,"3,017",18.32,105.35,-75.85,30,103.00,106.25,30,"58,600.00",300,"3,106.20","3,541.35",870,-,"2,900.00",28.08,-,-,13,
,"1,060",12,"2,824",18.39,98.00,-69.95,30,93.95,99.30,150,"58,700.00",300,"3,198.30","3,389.00",120,-,"2,570.00",18.90,-,-,16,
,"1,495",-114,"3,622",18.44,90.45,-65.40,120,89.00,92.40,150,"58,800.00",300,"3,323.85","3,712.25",870,-,"4,027.15",29.81,-,-,4,
,"1,103",225,"2,180",18.56,85.00,-57.90,150,83.35,86.20,150,"58,900.00",300,"3,389.45","3,802.55",870,-,"2,794.30",20.71,-,-,2,
,"24,525","5,146","35,725",18.70,80.00,-53.15,60,76.05,80.40,150,"59,000.00",300,"3,512.10","3,615.75",150,777.25,"3,565.30",22.67,96,5,"4,086",
,993,247,"1,810",18.57,70.95,-51.20,150,72.30,74.45,150,"59,100.00",300,"3,587.90","3,745.10",120,-166.20,"3,580.45",19.19,2,-2,11,
,944,-219,"2,336",18.66,66.10,-46.60,150,66.35,69.10,150,"59,200.00",300,"3,679.10","3,836.20",120,800.00,"3,850.00",26.77,3,-1,40,
,850,-168,"2,273",18.83,62.70,-39.90,150,62.00,64.10,150,"59,300.00",300,"3,763.85","4,190.45",300,5.65,"3,011.35",7.46,-,-,35,
,"1,511",246,"1,551",18.92,58.45,-36.45,150,57.55,59.85,150,"59,400.00",300,"3,870.60","4,027.25",120,-,"4,259.75",20.26,-,-,11,
,"10,522","2,878","15,662",19.02,54.60,-34.45,60,54.65,56.00,480,"59,500.00",30,"3,952.30","4,114.75",30,510.30,"3,900.00",12.32,23,-3,471,
,"1,611",326,"2,200",19.00,49.45,-32.05,150,49.70,51.80,150,"59,600.00",300,"4,085.90","4,484.05",300,-,"3,627.55",26.12,-,-,26,
,706,38,"2,255",19.14,46.75,-29.80,150,46.00,48.45,150,"59,700.00",300,"4,059.70","4,577.40",300,-,"3,620.00",-,-,-,27,
,"1,541",528,"2,380",19.33,44.70,-25.40,150,42.85,44.95,150,"59,800.00",330,"4,215.30","4,465.30",300,-,"3,280.00",17.75,-,-,35,
,909,70,893,19.46,42.15,-21.95,150,40.40,42.45,150,"59,900.00",330,"4,299.40","4,632.95",30,-,"3,583.50",15.13,-,-,23,
,"74,858","3,786","55,180",19.43,38.00,-22.35,30,37.30,39.05,150,"60,000.00",30,"4,491.10","4,571.55",180,801.50,"4,503.55",24.28,"2,885","-2,163","35,338",
,"1,868",27,"1,140",19.58,36.00,-20.10,30,34.50,36.45,150,"60,100.00",300,"4,424.35","4,785.45",30,-,"4,892.50",17.03,-,-,35,
,630,-96,885,19.52,32.15,-19.25,30,32.15,33.80,150,"60,200.00",300,"4,541.95","4,989.00",300,-,"4,220.00",-,-,-,46,
,942,-73,"1,593",19.61,30.00,-17.30,300,28.30,37.20,300,"60,300.00",300,"4,641.05","5,179.70",300,-,"3,930.55",-,-,-,27,
,611,61,610,20.26,32.85,-11.65,"1,800",26.05,31.60,30,"60,400.00",300,"4,745.80","5,287.20",300,-,"4,130.00",26.44,-,-,15,
,"7,329",549,"12,405",19.92,27.10,-13.45,30,26.25,27.10,90,"60,500.00",360,"4,852.95","5,125.05",900,753.45,"4,927.20",20.86,5,-1,469,
,321,30,412,19.85,24.05,-12.95,30,24.00,29.95,300,"60,600.00",360,"4,675.40","5,441.55",30,-,"5,117.60",-,-,-,35,
,324,36,920,20.33,25.25,-9.95,30,23.25,25.40,30,"60,700.00",300,"5,015.80","5,590.25",300,50.00,"4,350.00",-,-,-,17,
,476,29,984,20.13,21.55,-10.85,"3,000",20.15,31.05,300,"60,800.00",300,"5,144.35","5,686.10",300,-,"6,000.00",27.06,-,-,8,
,484,85,936,20.05,19.05,-11.90,"2,400",18.15,27.75,300,"60,900.00",300,"5,187.50","5,799.05",870,-,"7,396.60",-,-,-,6,
,"30,039","10,231","42,423",20.25,18.40,-9.85,300,17.65,18.40,360,"61,000.00",300,"5,417.50","5,565.90",90,957.15,"5,620.00",34.03,32,-8,"2,326",
,393,-171,872,20.54,18.35,-8.05,"1,800",16.75,27.75,60,"61,100.00",30,"5,281.60","5,815.25",30,-,"8,733.60",-,-,-,11,
,475,117,433,20.67,17.40,-6.95,30,16.20,20.00,30,"61,200.00",30,"5,378.50","5,866.20",30,-,"8,804.90",-,-,-,8,
,261,15,85,20.75,16.20,-6.75,30,14.50,21.85,30,"61,300.00",300,"5,303.70","6,155.85",300,-,"3,600.00",-,-,-,5,
,158,-63,531,20.55,13.70,-7.50,870,13.70,20.00,120,"61,400.00",30,"5,656.25","6,064.60",30,-,"6,667.60",-,-,-,3,
,"6,459","1,405","7,575",20.69,13.00,-6.90,540,13.00,14.15,60,"61,500.00",30,"5,697.05","6,120.10",60,-,"5,240.60",25.78,-,-,195,
,239,-19,303,21.24,14.25,-5.20,870,11.40,17.55,300,"61,600.00",300,"5,530.55","6,263.00",30,-,"6,857.30",-,-,-,3,
,103,-2,94,21.02,12.00,-6.15,900,10.95,17.40,300,"61,700.00",30,"5,969.60","6,620.90",870,-,"6,951.45",-,-,-,2,
,256,55,246,20.92,10.45,-5.70,90,10.45,15.00,120,"61,800.00",300,"5,901.05","6,462.05",30,-,"7,051.00",-,-,-,2,
,257,5,268,21.28,10.80,-5.20,30,10.80,14.55,300,"61,900.00",30,"6,155.05","6,828.95",870,-,"7,146.40",-,-,-,3,
